Pytanie|label|Odpowiedź
Czy należy mi się podnóżek pod nogi do pracy?|Podnóżek pod nogi|W celu uzyskania podnóżka pod nogi należy się zgłosić do służb BHP lub administracji biura w której pracujesz, oni udzielą Ci na ten temat stosownych informacji.
Dziękuję|podziękowanie|Ależ nie ma za co 😎
Dzięki|podziękowanie|Ależ nie ma za co 😎
dzięki za pomoc|podziękowanie|Ależ nie ma za co 😎
Dzięki za rozmowę|podziękowanie|Ależ nie ma za co 😎
Dziękuję za pomoc|podziękowanie|Ależ nie ma za co 😎
Thnx|podziękowanie|Ależ nie ma za co 😎
Thx|podziękowanie|Ależ nie ma za co 😎
Jaką mamy pogodę?|pogoda|Dla Ciebie? Zawsze słoneczna!
Jaka jest dzisiaj pogoda?|pogoda|Dla Ciebie? Zawsze słoneczna!
Jaka dziś jest pogoda?|pogoda|Dla Ciebie? Zawsze słoneczna!
Pogoda na dziś|pogoda|Dla Ciebie? Zawsze słoneczna!
Pogoda|pogoda|Dla Ciebie? Zawsze słoneczna!
Pracuję na pół etatu ile urlopu mi przysługuje?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Jestem zatrudniony w niepełnym wymiarze? Jak liczyć urlop?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Ile mam urlopu jeżeli pracuję na pół etatu?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Pracuję w niepełnym wymiarze godzin, ile mam urlopu?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
ile mam urlopu jeżeli pracuję w niepełnym wymiarze godzin?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Jestem zatrudniona w niepełnym wymiarze godzin, ile mam dni urlopu?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Jestem zatrudniona na pół etatu, ile mam dni urlopu?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Chciałabym się dowiedzieć ile mam dni urlopu skoro pracuję na pół etatu?|pol etatu urlop|Zgodnie z art. 154 § 2 Kodeksu pracy wymiar urlopu dla pracownika zatrudnionego w niepełnym wymiarze czasu pracy ustala się proporcjonalnie do wymiaru czasu pracy, biorąc za podstawę wymiar urlopu (20 lub 26 dni), a niepełny dzień urlopu zaokrągla się w górę do pełnego dnia. ½ z 20 lub 26 dni = 10 lub 13 dni w roku kalendarzowym. 10/13 dni x 8 godzin = 80/104 godziny w ciągu roku.
Pozdro|pozdrowienia|Pozdrawiam
Pozdrawiam|pozdrowienia|Pozdrawiam
Pzdr|pozdrowienia|Pozdrawiam
Kłaniam się|pozdrowienia|Pozdrawiam
Przesyłam pozdrowienia|pozdrowienia|Pozdrawiam
Żegnam|pożegnanie|Trzymaj się :)
Bye|pożegnanie|Trzymaj się :)
Do widzenia|pożegnanie|Trzymaj się :)
Dobranoc|pożegnanie|Trzymaj się :)
Narazie|pożegnanie|Trzymaj się :)
pa|pożegnanie|Trzymaj się :)
To pa|pożegnanie|Trzymaj się :)
Trzymaj się|pożegnanie|Trzymaj się :)
Czy mogę łączyć pracę z urlopem rodzicielskim?|praca na rodzicielskim|Pracownik może łączyć korzystanie z urlopu rodzicielskiego z wykonywaniem pracy u pracodawcy udzielającego tego urlopu w wymiarze nie wyższym niż połowa pełnego wymiaru czasu pracy. W takim przypadku urlopu rodzicielskiego udziela się na pozostałą część wymiaru czasu pracy. Pracodawca jest zobowiązany uwzględnić wniosek pracownika, chyba, że nie jest to możliwe ze względu na organizację pracy.
Czy mogę pracować na rodzicielskim?|praca na rodzicielskim|Pracownik może łączyć korzystanie z urlopu rodzicielskiego z wykonywaniem pracy u pracodawcy udzielającego tego urlopu w wymiarze nie wyższym niż połowa pełnego wymiaru czasu pracy. W takim przypadku urlopu rodzicielskiego udziela się na pozostałą część wymiaru czasu pracy. Pracodawca jest zobowiązany uwzględnić wniosek pracownika, chyba, że nie jest to możliwe ze względu na organizację pracy.
Czy można częściowo pracować podczas urlopu rodzicielskiego?|praca na rodzicielskim|Pracownik może łączyć korzystanie z urlopu rodzicielskiego z wykonywaniem pracy u pracodawcy udzielającego tego urlopu w wymiarze nie wyższym niż połowa pełnego wymiaru czasu pracy. W takim przypadku urlopu rodzicielskiego udziela się na pozostałą część wymiaru czasu pracy. Pracodawca jest zobowiązany uwzględnić wniosek pracownika, chyba, że nie jest to możliwe ze względu na organizację pracy.
Czy mogę dorabiać podczas urlopu rodzicielskiego?|praca na rodzicielskim|Pracownik może łączyć korzystanie z urlopu rodzicielskiego z wykonywaniem pracy u pracodawcy udzielającego tego urlopu w wymiarze nie wyższym niż połowa pełnego wymiaru czasu pracy. W takim przypadku urlopu rodzicielskiego udziela się na pozostałą część wymiaru czasu pracy. Pracodawca jest zobowiązany uwzględnić wniosek pracownika, chyba, że nie jest to możliwe ze względu na organizację pracy.
Czy mogę trochę pracować podczas urlopu rodzicielskiego?|praca na rodzicielskim|Pracownik może łączyć korzystanie z urlopu rodzicielskiego z wykonywaniem pracy u pracodawcy udzielającego tego urlopu w wymiarze nie wyższym niż połowa pełnego wymiaru czasu pracy. W takim przypadku urlopu rodzicielskiego udziela się na pozostałą część wymiaru czasu pracy. Pracodawca jest zobowiązany uwzględnić wniosek pracownika, chyba, że nie jest to możliwe ze względu na organizację pracy.
Czy mogę pracować podczas urlopu wychowawczego?|praca na wychowawczym|Podczas urlopu wychowawczego pracownik ma prawo podjąć pracę zarobkową u dotychczasowego lub innego pracodawcy albo inną działalność, jeżeli nie wyłącza to sprawowania osobistej opieki nad dzieckiem.
Czy mogę iść do pracy podczas wychowawczego?|praca na wychowawczym|Podczas urlopu wychowawczego pracownik ma prawo podjąć pracę zarobkową u dotychczasowego lub innego pracodawcy albo inną działalność, jeżeli nie wyłącza to sprawowania osobistej opieki nad dzieckiem.
Czy można częściowo pracować podczas urlopu wychowawczego?|praca na wychowawczym|Podczas urlopu wychowawczego pracownik ma prawo podjąć pracę zarobkową u dotychczasowego lub innego pracodawcy albo inną działalność, jeżeli nie wyłącza to sprawowania osobistej opieki nad dzieckiem.
Czy mogę dorabiać podczas urlopu wychowawczego?|praca na wychowawczym|Podczas urlopu wychowawczego pracownik ma prawo podjąć pracę zarobkową u dotychczasowego lub innego pracodawcy albo inną działalność, jeżeli nie wyłącza to sprawowania osobistej opieki nad dzieckiem.
Czy mogę trochę pracować podczas urlopu wychowawczego?|praca na wychowawczym|Podczas urlopu wychowawczego pracownik ma prawo podjąć pracę zarobkową u dotychczasowego lub innego pracodawcy albo inną działalność, jeżeli nie wyłącza to sprawowania osobistej opieki nad dzieckiem.
Czy przełożony może odwołać mnie z urlopu? |pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Mam zaakceptowany urlop. Czy przełożony może wezwać mnie do pracy?|pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Czy przełożony może przerwać mi urlop? |pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Przełożony przerwał mi urlop, czy miał prawo?|pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Przełożony skrócił mój urlop, czy miał prawo?|pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Czy możliwe jest odwołanie pracownika z urlopu?|pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Czy możliwe jest odwołanie pracownika podczas jego urlopu?|pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Czy ktoś może przerwać mój urlop wypoczynkowy?|pracodawca odwołać urlop|Odwołanie pracownika z urlopu jest dopuszczalne tylko wówczas, gdy jego obecność w zakładzie pracy wymagają okoliczności nieprzewidziane w chwili rozpoczynania urlopu. Tak więc z uprawnienia do odwołania pracownika z urlopu pracodawca może skorzystać tylko jeśli: 1. nastąpiły okoliczności, których nie można było przewidzieć w chwili rozpoczęcia urlopu wypoczynkowego, bądź pracodawca nie mógł przewidzieć konieczności obecności pracownika oraz 2. powrót pracownika jest niezbędny dla zapewnienia prawidłowego toku pracy z uwagi na posiadane przez niego kwalifikacje. Pracodawca jest obowiązany pokryć koszty poniesione przez pracownika w bezpośrednim związku z odwołaniem go z urlopu.
Czy jesteś prawdziwy? |prawda|Spróbuj uświadomić sobie prawdę: łyżka nie istnieje. 
Czy ty żyjesz|prawda|Spróbuj uświadomić sobie prawdę: łyżka nie istnieje. 
Czy ty jesteś naprawdę|prawda|Spróbuj uświadomić sobie prawdę: łyżka nie istnieje. 
Czy naprawdę istniejesz?|prawda|Spróbuj uświadomić sobie prawdę: łyżka nie istnieje. 
Ile przysługuje mi urlopu macierzyńskiego?|przysługuje urlop macierzyński|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu macierzyńskiego w wymiarze: - 20 tygodni w przypadku urodzenia 1 dziecka, - 31 tygodni w przypadku urodzenia 2 dzieci, - 33 tygodni w przypadku urodzenia 3 dzieci,- 35 tygodni w przypadku urodzenia 4 dzieci, - 37 tygodni w przypadku urodzenia 5 i więcej dzieci
ile mam urlopu macierzyńskiego |przysługuje urlop macierzyński|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu macierzyńskiego w wymiarze: - 20 tygodni w przypadku urodzenia 1 dziecka, - 31 tygodni w przypadku urodzenia 2 dzieci, - 33 tygodni w przypadku urodzenia 3 dzieci,- 35 tygodni w przypadku urodzenia 4 dzieci, - 37 tygodni w przypadku urodzenia 5 i więcej dzieci
Ile mam urlopu macierzyńskiego?|przysługuje urlop macierzyński|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu macierzyńskiego w wymiarze: - 20 tygodni w przypadku urodzenia 1 dziecka, - 31 tygodni w przypadku urodzenia 2 dzieci, - 33 tygodni w przypadku urodzenia 3 dzieci,- 35 tygodni w przypadku urodzenia 4 dzieci, - 37 tygodni w przypadku urodzenia 5 i więcej dzieci
Ile należy się urlopu macierzyńskiego?|przysługuje urlop macierzyński|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu macierzyńskiego w wymiarze: - 20 tygodni w przypadku urodzenia 1 dziecka, - 31 tygodni w przypadku urodzenia 2 dzieci, - 33 tygodni w przypadku urodzenia 3 dzieci,- 35 tygodni w przypadku urodzenia 4 dzieci, - 37 tygodni w przypadku urodzenia 5 i więcej dzieci
Ile można dostać macierzyńskiego?|przysługuje urlop macierzyński|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu macierzyńskiego w wymiarze: - 20 tygodni w przypadku urodzenia 1 dziecka, - 31 tygodni w przypadku urodzenia 2 dzieci, - 33 tygodni w przypadku urodzenia 3 dzieci,- 35 tygodni w przypadku urodzenia 4 dzieci, - 37 tygodni w przypadku urodzenia 5 i więcej dzieci
Czy należy mi się urlop ojcowski?|przysługuje urlop ojcowski|Pracownik-ojciec wychowujący dziecko ma prawo do urlopu ojcowskiego w wymiarze 2 tygodni(14 dni kalendarzowych), nie dłużej jednak niż do ukończenia przez dziecko 24 miesiąca życia. Urlop można podzielić na 2 części, każda z części nie może być krótsza niż 7 dni.
Czy należy mi się tacierzyński?|przysługuje urlop ojcowski|Pracownik-ojciec wychowujący dziecko ma prawo do urlopu ojcowskiego w wymiarze 2 tygodni(14 dni kalendarzowych), nie dłużej jednak niż do ukończenia przez dziecko 24 miesiąca życia. Urlop można podzielić na 2 części, każda z części nie może być krótsza niż 7 dni.
urlop ojcowski?|przysługuje urlop ojcowski|Pracownik-ojciec wychowujący dziecko ma prawo do urlopu ojcowskiego w wymiarze 2 tygodni(14 dni kalendarzowych), nie dłużej jednak niż do ukończenia przez dziecko 24 miesiąca życia. Urlop można podzielić na 2 części, każda z części nie może być krótsza niż 7 dni.
Komu przysługuje urlop ojcowski?|przysługuje urlop ojcowski|Pracownik-ojciec wychowujący dziecko ma prawo do urlopu ojcowskiego w wymiarze 2 tygodni(14 dni kalendarzowych), nie dłużej jednak niż do ukończenia przez dziecko 24 miesiąca życia. Urlop można podzielić na 2 części, każda z części nie może być krótsza niż 7 dni.
Hej|przywitanie|Cześć!
Cześć|przywitanie|Cześć!
Cześc|przywitanie|Cześć!
Czesć|przywitanie|Cześć!
Dobry wieczór|przywitanie|Cześć!
Dzień dobry|przywitanie|Cześć!
Witam|przywitanie|Cześć!
Witaj|przywitanie|Cześć!
Elo|przywitanie_krótkie|Hej!
Halo|przywitanie_krótkie|Hej!
Hejka|przywitanie_krótkie|Hej!
Hey|przywitanie_krótkie|Hej!
Hi|przywitanie_krótkie|Hej!
Siema|przywitanie_krótkie|Hej!
Yo|przywitanie_krótkie|Hej!
Joł|przywitanie_krótkie|Hej!
Siemanko|przywitanie_krótkie|Hej!
Kto może się ubiegać o refundację okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy refundacja okularów jest dla każdego Pracownika?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy mogę liczyć na zwrot za okulary?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy przysługuje mi zwrot za okulary?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Interesuje mnie refundacja okularów, czy mogę się o nią ubiegać?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy dostanę zwrot za zakup okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Kto dostanie zwrot za zakup okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy mogę dostać refundację kosztu zakupu okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy mogę dostać zwrot za zakup okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy przysługuje mi zwrot kosztów zakupu soczewek?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy dostanę dofinansowanie na zakup okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Kiedy pracownik może dostać zwrot za zakup okularów korekcyjnych?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy należy się zwrot kosztów za zakup okularów?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy przysługuje mi zwrot za okulary?|refundacja okularów|Każdy zatrudniony przez pracodawcę pracownik, w tym praktykant i stażysta, który użytkuje monitor ekranowy, przez co najmniej 4 godziny dziennie. Zgodnie z zaleceniem lekarza – w wyniku badań okulistycznych przeprowadzonych w ramach profilaktycznej opieki zdrowotnej - wymaga stosowania okularów korygujących wzrok podczas pracy przy obsłudze monitora. Więcej informacji znajdziesz na HeiPorcie – Serwis Pracowniczy – HR dla Pracownika – Inne procedury i polityki – Procedura refundacji kosztów okularów.
Czy mogę również ubiegać się o zwrot za szkła kontaktowe?|refundacja szkła kontaktowe|Tak. Jeżeli w wyniku badań przeprowadzonych, w ramach profilaktycznej opieki zdrowotnej lekarz okulista zaleci stosowanie, przy obsłudze monitora, zamiast okularów – soczewki kontaktowe korygujące wzrok, pracodawca refunduje koszt zakupu przedmiotowych soczewek.
Noszę szkła kontaktowe. Czy mogę ubiegać się o dofinansowanie?|refundacja szkła kontaktowe|Tak. Jeżeli w wyniku badań przeprowadzonych, w ramach profilaktycznej opieki zdrowotnej lekarz okulista zaleci stosowanie, przy obsłudze monitora, zamiast okularów – soczewki kontaktowe korygujące wzrok, pracodawca refunduje koszt zakupu przedmiotowych soczewek.
